Home,Home Points,Visitor,Visitor Points
Toronto Raptors,120,San Antonio Spurs,117
Atlanta Hawks,122,Detroit Pistons,125
New York Knicks,104,Minnesota Timberwolves,115
Memphis Grizzlies,106,Los Angeles Clippers,112
Dallas Mavericks,104,Denver Nuggets,114
Oklahoma City Thunder,148,Utah Jazz,147
Philadelphia 76ers,115,Portland Trail Blazers,130
Atlanta Hawks,120,Phoenix Suns,112
Charlotte Hornets,115,Brooklyn Nets,117
Cleveland Cavaliers,112,Memphis Grizzlies,107
New Orleans Pelicans,128,Los Angeles Lakers,115
Washington Wizards,112,Indiana Pacers,119
Miami Heat,96,Detroit Pistons,119
Chicago Bulls,126,Boston Celtics,116
Oklahoma City Thunder,116,Sacramento Kings,119
Golden State Warriors,112,Houston Rockets,118
Milwaukee Bucks,140,Minnesota Timberwolves,128
Utah Jazz,125,Dallas Mavericks,109
Toronto Raptors,98,Orlando Magic,113
Denver Nuggets,123,Los Angeles Clippers,96
New York Knicks,130,San Antonio Spurs,118
Charlotte Hornets,110,Golden State Warriors,121
Cleveland Cavaliers,110,Portland Trail Blazers,123
Detroit Pistons,113,Indiana Pacers,109
Brooklyn Nets,101,San Antonio Spurs,85
Miami Heat,121,Phoenix Suns,124
Chicago Bulls,106,Milwaukee Bucks,117
Houston Rockets,119,Atlanta Hawks,111
Memphis Grizzlies,110,Los Angeles Lakers,105
Minnesota Timberwolves,112,Sacramento Kings,105
New Orleans Pelicans,110,Philadelphia 76ers,111
Los Angeles Clippers,121,Dallas Mavericks,112
New York Knicks,108,Orlando Magic,103
Toronto Raptors,118,Boston Celtics,95
Denver Nuggets,121,Oklahoma City Thunder,112
Charlotte Hornets,113,Houston Rockets,118
Atlanta Hawks,131,Minnesota Timberwolves,123
Brooklyn Nets,116,Washington Wizards,125
Miami Heat,126,Golden State Warriors,125
Boston Celtics,92,Portland Trail Blazers,97
Memphis Grizzlies,107,Chicago Bulls,109
Dallas Mavericks,110,Indiana Pacers,101
San Antonio Spurs,105,Detroit Pistons,93
Utah Jazz,111,Los Angeles Clippers,105
Sacramento Kings,140,Milwaukee Bucks,141
Los Angeles Lakers,125,New Orleans Pelicans,119
Indiana Pacers,122,Minnesota Timberwolves,115
Orlando Magic,103,Golden State Warriors,96
New York Knicks,118,Cleveland Cavaliers,125
Houston Rockets,121,Miami Heat,118
Oklahoma City Thunder,104,Philadelphia 76ers,108
Denver Nuggets,104,Utah Jazz,111
Atlanta Hawks,161,Chicago Bulls,168
Brooklyn Nets,112,Charlotte Hornets,123
Boston Celtics,107,Washington Wizards,96
Toronto Raptors,119,Portland Trail Blazers,117
Phoenix Suns,116,New Orleans Pelicans,130
Sacramento Kings,109,Los Angeles Clippers,116
Los Angeles Lakers,120,Milwaukee Bucks,131
Cleveland Cavaliers,93,Detroit Pistons,129
Indiana Pacers,112,Orlando Magic,117
Miami Heat,117,Brooklyn Nets,88
Dallas Mavericks,81,Memphis Grizzlies,111
Philadelphia 76ers,117,Golden State Warriors,120
San Antonio Spurs,116,Oklahoma City Thunder,102
Denver Nuggets,112,New Orleans Pelicans,120
Phoenix Suns,118,Los Angeles Lakers,109
Utah Jazz,115,Milwaukee Bucks,111
Charlotte Hornets,108,Portland Trail Blazers,118
Boston Celtics,104,Houston Rockets,115
Chicago Bulls,118,Atlanta Hawks,123
Los Angeles Clippers,128,New York Knicks,107
Cleveland Cavaliers,107,Orlando Magic,93
Detroit Pistons,112,Toronto Raptors,107
Washington Wizards,135,Minnesota Timberwolves,121
Oklahoma City Thunder,99,Memphis Grizzlies,95
Brooklyn Nets,127,Dallas Mavericks,88
Miami Heat,114,Atlanta Hawks,113
San Antonio Spurs,104,Denver Nuggets,103
Phoenix Suns,114,Milwaukee Bucks,105
Utah Jazz,112,New Orleans Pelicans,115
Sacramento Kings,115,New York Knicks,108
Los Angeles Lakers,105,Los Angeles Clippers,113
Indiana Pacers,105,Chicago Bulls,96
Philadelphia 76ers,114,Orlando Magic,106
Memphis Grizzlies,120,Portland Trail Blazers,111
Minnesota Timberwolves,131,Oklahoma City Thunder,120
Toronto Raptors,95,Houston Rockets,107
Golden State Warriors,95,Boston Celtics,128
Charlotte Hornets,84,Miami Heat,91
Detroit Pistons,131,Minnesota Timberwolves,114
Washington Wizards,132,Dallas Mavericks,123
Atlanta Hawks,104,San Antonio Spurs,111
Brooklyn Nets,113,Cleveland Cavaliers,107
Chicago Bulls,108,Philadelphia 76ers,107
New Orleans Pelicans,104,Utah Jazz,114
Phoenix Suns,107,New York Knicks,96
Sacramento Kings,109,Boston Celtics,111
Los Angeles Lakers,99,Denver Nuggets,115
Milwaukee Bucks,117,Indiana Pacers,98
Portland Trail Blazers,121,Oklahoma City Thunder,129
Charlotte Hornets,112,Washington Wizards,111
Orlando Magic,111,Dallas Mavericks,106
Chicago Bulls,104,Detroit Pistons,112
Houston Rockets,107,Philadelphia 76ers,91
Memphis Grizzlies,114,Utah Jazz,104
Miami Heat,126,Cleveland Cavaliers,110
New Orleans Pelicans,104,Toronto Raptors,127
Golden State Warriors,122,Denver Nuggets,105
Los Angeles Clippers,118,Oklahoma City Thunder,110
New York Knicks,94,Sacramento Kings,102
Atlanta Hawks,112,Brooklyn Nets,114
Minnesota Timberwolves,135,Washington Wizards,130
Los Angeles Lakers,107,Boston Celtics,120
Milwaukee Bucks,131,Charlotte Hornets,114
Portland Trail Blazers,127,Phoenix Suns,120
Detroit Pistons,131,Chicago Bulls,108
Miami Heat,104,Toronto Raptors,125
Philadelphia 76ers,106,Indiana Pacers,89
Atlanta Hawks,128,New Orleans Pelicans,116
Memphis Grizzlies,105,Orlando Magic,97
Dallas Mavericks,93,Houston Rockets,94
Minnesota Timberwolves,103,New York Knicks,92
San Antonio Spurs,121,Milwaukee Bucks,114
Golden State Warriors,111,Phoenix Suns,115
Cleveland Cavaliers,126,Toronto Raptors,101
Washington Wizards,121,Sacramento Kings,115
Brooklyn Nets,103,Detroit Pistons,75
Houston Rockets,118,Charlotte Hornets,106
Utah Jazz,89,Oklahoma City Thunder,98
Los Angeles Clippers,140,Boston Celtics,115
Indiana Pacers,103,New York Knicks,98
Philadelphia 76ers,106,Cleveland Cavaliers,99
Chicago Bulls,107,Los Angeles Lakers,123
Dallas Mavericks,105,San Antonio Spurs,112
New Orleans Pelicans,113,Milwaukee Bucks,130
Denver Nuggets,133,Minnesota Timberwolves,107
Los Angeles Clippers,104,Portland Trail Blazers,125
Oklahoma City Thunder,108,Brooklyn Nets,96
Washington Wizards,100,Orlando Magic,90
Atlanta Hawks,132,Memphis Grizzlies,111
Miami Heat,108,Detroit Pistons,74
Houston Rockets,104,Golden State Warriors,106
Phoenix Suns,97,Utah Jazz,114
Indiana Pacers,108,Oklahoma City Thunder,106
Orlando Magic,120,Cleveland Cavaliers,91
Boston Celtics,126,Sacramento Kings,120
Toronto Raptors,111,Los Angeles Lakers,98
Utah Jazz,120,Minnesota Timberwolves,100
Denver Nuggets,100,Dallas Mavericks,99
Detroit Pistons,111,Los Angeles Lakers,97
Philadelphia 76ers,123,Sacramento Kings,114
Washington Wizards,110,Charlotte Hornets,116
Houston Rockets,108,Phoenix Suns,102
Miami Heat,98,Milwaukee Bucks,113
New Orleans Pelicans,110,Portland Trail Blazers,122
San Antonio Spurs,109,New York Knicks,83
Los Angeles Clippers,128,Chicago Bulls,121
Boston Celtics,129,Atlanta Hawks,120
New Orleans Pelicans,136,Phoenix Suns,138
Washington Wizards,135,Memphis Grizzlies,128
Dallas Mavericks,121,Cleveland Cavaliers,116
Oklahoma City Thunder,88,Golden State Warriors,110
San Antonio Spurs,108,Portland Trail Blazers,103
Denver Nuggets,102,Indiana Pacers,100
Utah Jazz,114,Brooklyn Nets,98
New York Knicks,124,Los Angeles Lakers,123
Miami Heat,93,Charlotte Hornets,75
Milwaukee Bucks,125,Philadelphia 76ers,130
Detroit Pistons,110,Toronto Raptors,107
Orlando Magic,101,Atlanta Hawks,91
Sacramento Kings,129,Chicago Bulls,102
Houston Rockets,117,Minnesota Timberwolves,102
Los Angeles Clippers,119,Brooklyn Nets,116
Cleveland Cavaliers,126,Detroit Pistons,119
Washington Wizards,95,Utah Jazz,116
Boston Celtics,105,Denver Nuggets,114
Toronto Raptors,128,New York Knicks,92
Oklahoma City Thunder,107,Miami Heat,116
San Antonio Spurs,111,Golden State Warriors,105
Dallas Mavericks,125,New Orleans Pelicans,129
Phoenix Suns,101,Chicago Bulls,116
Portland Trail Blazers,106,Indiana Pacers,98
Charlotte Hornets,114,Philadelphia 76ers,118
Atlanta Hawks,105,Houston Rockets,121
Milwaukee Bucks,115,Los Angeles Lakers,101
Minnesota Timberwolves,107,Golden State Warriors,117
Sacramento Kings,121,Brooklyn Nets,123
Los Angeles Clippers,115,Indiana Pacers,109
Cleveland Cavaliers,107,Milwaukee Bucks,102
Orlando Magic,119,New Orleans Pelicans,96
Philadelphia 76ers,118,Boston Celtics,115
New York Knicks,116,Utah Jazz,137
Chicago Bulls,126,Washington Wizards,120
Memphis Grizzlies,126,Houston Rockets,125
San Antonio Spurs,105,Miami Heat,110
Oklahoma City Thunder,114,Toronto Raptors,123
Portland Trail Blazers,126,Dallas Mavericks,118
Charlotte Hornets,113,Minnesota Timberwolves,106
Washington Wizards,108,Denver Nuggets,113
Atlanta Hawks,117,Utah Jazz,114
Phoenix Suns,98,Detroit Pistons,118
Sacramento Kings,116,Dallas Mavericks,100
Golden State Warriors,112,Indiana Pacers,89
Orlando Magic,123,Memphis Grizzlies,119
Cleveland Cavaliers,108,Los Angeles Clippers,110
New York Knicks,93,Denver Nuggets,111
Toronto Raptors,109,Oklahoma City Thunder,116
Houston Rockets,111,San Antonio Spurs,105
Milwaukee Bucks,116,Miami Heat,87
Los Angeles Lakers,106,Brooklyn Nets,111
Charlotte Hornets,124,Boston Celtics,117
Washington Wizards,108,Miami Heat,113
Atlanta Hawks,129,Philadelphia 76ers,127
Chicago Bulls,83,Utah Jazz,114
Memphis Grizzlies,99,Minnesota Timberwolves,112
Golden State Warriors,91,Dallas Mavericks,126
Portland Trail Blazers,117,Detroit Pistons,112
Sacramento Kings,112,Phoenix Suns,103
New York Knicks,113,Los Angeles Clippers,124
Milwaukee Bucks,127,Cleveland Cavaliers,105
Indiana Pacers,124,Denver Nuggets,88
Toronto Raptors,114,Charlotte Hornets,115
New Orleans Pelicans,90,Houston Rockets,113
Boston Celtics,96,San Antonio Spurs,115
Golden State Warriors,121,Detroit Pistons,114
Los Angeles Lakers,111,Sacramento Kings,106
Orlando Magic,119,Philadelphia 76ers,98
Memphis Grizzlies,115,Oklahoma City Thunder,103
Utah Jazz,125,Phoenix Suns,92
Portland Trail Blazers,148,Brooklyn Nets,144
Charlotte Hornets,125,San Antonio Spurs,116
Cleveland Cavaliers,106,Boston Celtics,116
Miami Heat,99,Orlando Magic,104
Toronto Raptors,112,Chicago Bulls,103
Milwaukee Bucks,108,Houston Rockets,94
Minnesota Timberwolves,111,Los Angeles Clippers,122
New Orleans Pelicans,120,Atlanta Hawks,130
Dallas Mavericks,121,Sacramento Kings,125
Denver Nuggets,95,Detroit Pistons,92
Los Angeles Lakers,124,Washington Wizards,106
Chicago Bulls,98,Portland Trail Blazers,118
Memphis Grizzlies,103,Golden State Warriors,118
Oklahoma City Thunder,107,Indiana Pacers,99
Phoenix Suns,121,Washington Wizards,124
Utah Jazz,115,Los Angeles Lakers,100
Detroit Pistons,115,Orlando Magic,98
Philadelphia 76ers,123,Brooklyn Nets,110
Miami Heat,105,Dallas Mavericks,99
New York Knicks,92,Toronto Raptors,117
Houston Rockets,112,Denver Nuggets,85
Milwaukee Bucks,128,Los Angeles Clippers,118
New Orleans Pelicans,121,Sacramento Kings,118
San Antonio Spurs,116,Cleveland Cavaliers,110
Boston Celtics,114,Indiana Pacers,112
Atlanta Hawks,98,Portland Trail Blazers,118
Minnesota Timberwolves,131,Golden State Warriors,130
Oklahoma City Thunder,105,Denver Nuggets,115
Utah Jazz,128,Washington Wizards,124
Los Angeles Lakers,129,Charlotte Hornets,115
Los Angeles Clippers,132,Cleveland Cavaliers,108
Brooklyn Nets,110,Boston Celtics,96
Houston Rockets,119,Sacramento Kings,108
Detroit Pistons,99,Portland Trail Blazers,90
Indiana Pacers,116,Orlando Magic,121
New York Knicks,92,Miami Heat,100
Chicago Bulls,101,Toronto Raptors,124
Minnesota Timberwolves,109,Philadelphia 76ers,118
Phoenix Suns,115,Memphis Grizzlies,120
Atlanta Hawks,136,Milwaukee Bucks,135
Oklahoma City Thunder,103,Dallas Mavericks,106
New Orleans Pelicans,102,Los Angeles Lakers,130
San Antonio Spurs,106,Sacramento Kings,113
Denver Nuggets,90,Washington Wizards,95
Golden State Warriors,137,Charlotte Hornets,90
Los Angeles Clippers,113,Memphis Grizzlies,96
Indiana Pacers,111,Detroit Pistons,102
Boston Celtics,110,Miami Heat,105
Brooklyn Nets,121,Milwaukee Bucks,131
New York Knicks,113,Chicago Bulls,105
Toronto Raptors,121,Orlando Magic,109
Minnesota Timberwolves,122,Portland Trail Blazers,132
Dallas Mavericks,122,Philadelphia 76ers,102
Utah Jazz,111,Charlotte Hornets,102
Phoenix Suns,122,Cleveland Cavaliers,113
Oklahoma City Thunder,119,Los Angeles Lakers,103
San Antonio Spurs,117,Atlanta Hawks,111
Sacramento Kings,105,Houston Rockets,130
Golden State Warriors,116,Denver Nuggets,102
Detroit Pistons,89,Indiana Pacers,108
Orlando Magic,114,New York Knicks,100
Washington Wizards,114,Chicago Bulls,115
Atlanta Hawks,130,Philadelphia 76ers,122
Brooklyn Nets,105,Toronto Raptors,115
Miami Heat,102,Boston Celtics,112
New Orleans Pelicans,109,Charlotte Hornets,115
Dallas Mavericks,108,Minnesota Timberwolves,110
Denver Nuggets,113,San Antonio Spurs,85
Phoenix Suns,97,Utah Jazz,118
Portland Trail Blazers,116,Memphis Grizzlies,89
Los Angeles Clippers,103,Houston Rockets,135
Philadelphia 76ers,122,Milwaukee Bucks,128
Sacramento Kings,117,Cleveland Cavaliers,104
Los Angeles Lakers,90,Golden State Warriors,108
Charlotte Hornets,113,Toronto Raptors,111
Orlando Magic,149,Atlanta Hawks,113
Washington Wizards,112,San Antonio Spurs,129
Houston Rockets,120,New York Knicks,96
Indiana Pacers,97,Boston Celtics,117
Minnesota Timberwolves,111,Miami Heat,109
Oklahoma City Thunder,123,Detroit Pistons,110
Dallas Mavericks,112,Memphis Grizzlies,122
Utah Jazz,119,Sacramento Kings,98
Phoenix Suns,133,New Orleans Pelicans,126
Denver Nuggets,119,Portland Trail Blazers,110
Golden State Warriors,120,Cleveland Cavaliers,114
Los Angeles Clippers,117,Los Angeles Lakers,122
Milwaukee Bucks,128,Brooklyn Nets,133
Chicago Bulls,96,Philadelphia 76ers,116
Toronto Raptors,117,Miami Heat,109
Cleveland Cavaliers,90,San Antonio Spurs,112
Minnesota Timberwolves,126,Oklahoma City Thunder,132
Detroit Pistons,91,Charlotte Hornets,104
Indiana Pacers,96,Brooklyn Nets,108
Memphis Grizzlies,127,Dallas Mavericks,129
Houston Rockets,149,Phoenix Suns,113
Milwaukee Bucks,115,Atlanta Hawks,107
Boston Celtics,108,Orlando Magic,116
New York Knicks,113,Washington Wizards,110
Golden State Warriors,131,Los Angeles Clippers,104
Portland Trail Blazers,115,Denver Nuggets,108
Sacramento Kings,129,New Orleans Pelicans,133
Los Angeles Lakers,113,Utah Jazz,109
Cleveland Cavaliers,97,Charlotte Hornets,124
Detroit Pistons,100,Memphis Grizzlies,93
Washington Wizards,110,Boston Celtics,116
Miami Heat,122,Philadelphia 76ers,99
Chicago Bulls,86,New York Knicks,96
Minnesota Timberwolves,100,Toronto Raptors,120
New Orleans Pelicans,103,Golden State Warriors,112
Dallas Mavericks,120,Phoenix Suns,109
Utah Jazz,118,Denver Nuggets,108
Oklahoma City Thunder,112,Houston Rockets,111
Los Angeles Lakers,101,Portland Trail Blazers,104
Atlanta Hawks,134,Indiana Pacers,135
Brooklyn Nets,113,Miami Heat,94
Charlotte Hornets,114,Orlando Magic,122
Memphis Grizzlies,132,Golden State Warriors,117
Milwaukee Bucks,116,Oklahoma City Thunder,127
New York Knicks,89,Detroit Pistons,115
Philadelphia 76ers,125,Chicago Bulls,109
San Antonio Spurs,105,Dallas Mavericks,94
Denver Nuggets,99,Minnesota Timberwolves,95
Los Angeles Clippers,143,Utah Jazz,137
Portland Trail Blazers,136,Sacramento Kings,131
Philadelphia 76ers,102,Brooklyn Nets,111
Toronto Raptors,101,Orlando Magic,104
Golden State Warriors,121,Los Angeles Clippers,104
Denver Nuggets,96,San Antonio Spurs,101
Boston Celtics,84,Indiana Pacers,74
Portland Trail Blazers,104,Oklahoma City Thunder,99
Milwaukee Bucks,121,Detroit Pistons,86
Houston Rockets,122,Utah Jazz,90
Philadelphia 76ers,145,Brooklyn Nets,123
Golden State Warriors,131,Los Angeles Clippers,135
Toronto Raptors,111,Orlando Magic,82
Denver Nuggets,114,San Antonio Spurs,105
Portland Trail Blazers,114,Oklahoma City Thunder,94
Boston Celtics,99,Indiana Pacers,91
Milwaukee Bucks,120,Detroit Pistons,99
Houston Rockets,118,Utah Jazz,98
Brooklyn Nets,115,Philadelphia 76ers,131
San Antonio Spurs,118,Denver Nuggets,108
Los Angeles Clippers,105,Golden State Warriors,132
Orlando Magic,93,Toronto Raptors,98
Indiana Pacers,96,Boston Celtics,104
Oklahoma City Thunder,120,Portland Trail Blazers,108
Brooklyn Nets,108,Philadelphia 76ers,112
San Antonio Spurs,103,Denver Nuggets,117
Detroit Pistons,103,Milwaukee Bucks,119
Utah Jazz,101,Houston Rockets,104
Indiana Pacers,106,Boston Celtics,110
Los Angeles Clippers,105,Golden State Warriors,113
Orlando Magic,85,Toronto Raptors,107
Oklahoma City Thunder,98,Portland Trail Blazers,111
Detroit Pistons,104,Milwaukee Bucks,127
Utah Jazz,107,Houston Rockets,91
Toronto Raptors,115,Orlando Magic,96
Philadelphia 76ers,122,Brooklyn Nets,100
Denver Nuggets,108,San Antonio Spurs,90
Portland Trail Blazers,118,Oklahoma City Thunder,115
Houston Rockets,100,Utah Jazz,93
Golden State Warriors,121,Los Angeles Clippers,129
San Antonio Spurs,120,Denver Nuggets,103
Los Angeles Clippers,110,Golden State Warriors,129
Toronto Raptors,108,Philadelphia 76ers,95
Denver Nuggets,90,San Antonio Spurs,86
Milwaukee Bucks,90,Boston Celtics,112
Golden State Warriors,104,Houston Rockets,100
Toronto Raptors,89,Philadelphia 76ers,94
Denver Nuggets,121,Portland Trail Blazers,113
Milwaukee Bucks,123,Boston Celtics,102
Golden State Warriors,115,Houston Rockets,109
Denver Nuggets,90,Portland Trail Blazers,97
Philadelphia 76ers,116,Toronto Raptors,95
Boston Celtics,116,Milwaukee Bucks,123
Portland Trail Blazers,140,Denver Nuggets,137
Houston Rockets,126,Golden State Warriors,121
Philadelphia 76ers,96,Toronto Raptors,101
Portland Trail Blazers,112,Denver Nuggets,116
Boston Celtics,101,Milwaukee Bucks,113
Houston Rockets,112,Golden State Warriors,108
Toronto Raptors,125,Philadelphia 76ers,89
Denver Nuggets,124,Portland Trail Blazers,98
Milwaukee Bucks,116,Boston Celtics,91
Golden State Warriors,104,Houston Rockets,99
Philadelphia 76ers,112,Toronto Raptors,101
Portland Trail Blazers,119,Denver Nuggets,108
Houston Rockets,113,Golden State Warriors,118
Denver Nuggets,96,Portland Trail Blazers,100
Toronto Raptors,92,Philadelphia 76ers,90
Golden State Warriors,116,Portland Trail Blazers,94
Milwaukee Bucks,108,Toronto Raptors,100
Golden State Warriors,114,Portland Trail Blazers,111
Milwaukee Bucks,125,Toronto Raptors,103
Portland Trail Blazers,99,Golden State Warriors,110
Toronto Raptors,118,Milwaukee Bucks,112
Portland Trail Blazers,117,Golden State Warriors,119
Toronto Raptors,120,Milwaukee Bucks,102
Milwaukee Bucks,99,Toronto Raptors,105
Toronto Raptors,100,Milwaukee Bucks,94
Toronto Raptors,118,Golden State Warriors,109
Toronto Raptors,104,Golden State Warriors,109
Golden State Warriors,109,Toronto Raptors,123
Golden State Warriors,92,Toronto Raptors,105
Toronto Raptors,105,Golden State Warriors,106
Golden State Warriors,110,Toronto Raptors,114
